gene,H10,H1,H2,H3,H4,H5,H6,H7,H8,H9
CSNK1A1L,3.507617691,2.272229453,2.170300365,4.825226637,4.864262187,1.616829926,3.369126898,1.024214118,3.171911399,2.024369435
PNKP,36.5345399,29.93262833,34.46694837,25.4066041,23.40095682,27.38899223,31.96263826,30.51057956,29.93638314,30.89137214
G6PD,137.3678149,131.740263,132.7220161,114.5277852,131.725412,114.9526139,143.7433186,119.1614685,121.658347,117.9426252
TMEM269,0.938856416,0.673167311,0.796058035,0.663703138,0.610381859,0.983209754,0.926837333,0.665974454,0.94737681,0.823241021
EFHC2,11.85327768,7.137384746,9.149944616,6.352017548,5.612616131,6.888276768,9.804084167,7.671578829,5.305420975,7.56991015
RPL10P12,2.151791985,0.661222069,6.157715423,0.651925836,1.937010066,3.219209535,0.670814243,2.817906424,3.428400192,0.665932849
AAMDC,2.113030935,3.462993192,2.575486396,1.813850267,1.373751864,3.055846663,2.305557137,3.920124068,3.366643111,2.724738113
C2orf40,0.535108388,0.616623513,0.510434279,0.729545158,0.120424086,1.080748116,0.750682449,0.656960589,1.662522744,0.993626492
SNORA38,3.455908339,1.592944075,1.648277361,7.852743025,3.110955561,1.551073685,9.696314971,1.697148187,4.95559664,1.604292774
FDPSP3,1.125814168,0.41514041,1.93302419,1.227911644,0.0,0.808456965,0.210581372,2.211486285,0.430496056,0.836196036
AC006111.3,0.0,0.549004224,0.568074704,0.0,0.536091559,0.534573698,0.556968484,1.169835826,0.569311363,1.10583105
SLC22A4,41.32611008,41.88371587,35.822319,28.95211982,37.88025713,27.23870084,44.68643504,30.79191904,43.35281971,40.15861426
IGKV1D-39,2.426488834,3.914575333,2.893252814,2.756814041,0.0,5.98978455,7.942726093,4.766458738,8.698653677,1.689627496
AC027309.2,2.375936983,2.190298103,1.133190685,0.0,4.277563897,3.199089476,4.444144362,1.166789379,2.271315127,0.0
CCDC77,5.075804529,5.03460071,4.964332828,5.664592772,3.93294889,6.517131011,5.347995694,4.291155529,6.510676826,4.593248381
PNISR,136.1699731,123.4223209,152.2067621,122.6024765,113.871104,147.5059518,131.3546972,159.1925312,153.240122,126.91194
ZNF746,43.7559205,37.93493094,41.47939115,31.87523995,44.44634761,36.45050848,48.58888859,37.67050949,33.21423334,29.00671304
NRN1,0.399107525,0.643867159,1.522817929,0.090687846,0.628723302,0.44781655,0.933153672,0.783984464,4.769165621,0.741090625
TMEM65,19.6537802,16.69759652,18.12101051,18.20785755,18.55616599,17.5512345,20.3183386,18.26130698,18.74004781,16.60546965
RNU6-531P,21.931726,20.21813633,31.38066514,27.9074406,21.71686286,15.74936357,14.35800486,19.38665429,14.67619005,14.25352426
C5orf34,0.986416951,2.37828776,1.954245014,1.862087568,0.614739722,2.043330603,1.632180764,1.714085794,2.031036281,1.761199652
AC135050.6,90.21017878,70.92393857,69.64625927,69.65258417,71.97171001,67.97641976,56.1514113,85.93496376,59.99156145,66.10704827
SLC24A1,4.117872288,3.865572345,4.478872564,2.921178911,1.333560211,3.696349971,3.381541813,4.636330847,3.216446256,3.683303621
KMT5C,5.778660803,8.585088041,8.245528204,8.985274306,4.557002744,6.344592863,6.744379885,9.850282192,7.989550698,5.320770003
MT-TS1,9.916954364,18.28422764,9.459678766,6.009055532,14.87848312,5.934542796,0.0,3.246718271,15.80045306,15.34540914
STAG2,123.3362905,104.2225542,114.3006965,115.4183451,124.2672282,104.7341334,138.3563595,123.5454228,120.781697,105.6375941
BEGAIN,0.665913793,0.053381218,0.110470988,0.815776199,2.111090179,0.077967146,0.0,2.445547883,0.083033607,0.725780585
METTL25,5.69598943,5.308647872,5.851294165,5.916710003,4.676677981,5.562412436,6.497914698,6.701034061,6.043543214,5.230240986
PUM2,91.55631284,90.82109691,87.73994398,86.9595072,79.5045754,83.59260227,97.54954193,92.58870007,92.0868881,84.27572031
AC007191.1,1.751608968,2.597642358,2.034067821,2.699560674,0.754108093,1.982474146,1.566950399,1.34638534,2.038495847,1.979788345
LRRC37A17P,1.123817256,0.911688923,2.830073387,1.552595941,0.890245856,2.663175787,2.4804526669999998,1.280386926,2.449475044,3.505793905
LMBRD2,9.995321101,8.358378967,10.08148955,8.414620328,5.260911919,10.001751,8.122056937,11.88247574,9.790151409,9.863173533
SLC25A4,2.839883175,3.796092499,5.101827166,3.613663194,1.363423562,3.611339852,2.877304505,3.765492512,3.800764719,3.735248998
RNU6-835P,2.1931726,18.1963227,0.0,1.993388614,1.97426026,1.968670447,6.153430655,4.308145398,6.289795736,0.0
MIR570,58.78606968,45.52207191,67.29049844,49.15655222,23.28405915,54.87922564,41.78412018,64.66659484,42.71009063,41.48006471
HTR5BP,1.501909243,0.553824279,0.76408292,0.819056955,0.991463449,0.89877843,0.749144616,1.868502043,1.435774268,1.859233065
IGLV3-1,13.18107753,44.37830126,15.85328075,11.45948027,3.611209722,24.69246952,24.11897442,14.63470497,24.10561582,14.89815601
GAK,28.24974179,31.10671338,29.96199541,26.49713953,21.96164247,24.18262556,23.30954451,28.17478764,24.70375553,27.87690261
ENDOV,2.924633308,3.362906339,3.389729093,2.515302991,2.321314145,2.76639862,2.264657047,3.026928023,2.555346951,2.540148658
